日付,更新項目,更新内容
2020/3/30,追加,このテーブル
2020/3/30,修正,タイトル両脇の画像の下の方が少し切れているバグ
2020/3/31,追加,タイトルとタブの文字の大きさをレスポンシブ対応
2020/3/31,追加,ページのアイコン
2020/3/31,追加,Twitterのタイムライン
2020/4/1,内部変更,scss記述をsass記述へ
2020/4/1,変更,mainのmergin
2020/4/1,削除,スクロールに不具合
2020/4/1,変更,スクロールのデザイン
2020/4/12,内部変更,javascript記述をjQuery記述へ
2020/4/12,修正,リロード時にタブがホームになるバグ
2020/4/12,追加,訪問回数
2020/4/12,内部変更,FFFTPの使用を開始
2020/4/12,変更,スクロールの仕様
2020/4/17,変更,スクロールの仕様
2020/4/17,追加,スクロール時メニューをトップに固定
2020/4/19,追加,スワイプでタブ移動
2020/4/19,変更,スワイプ可能領域を拡大
2020/4/19,変更,テーブル以外のフォント
2020/4/19,削除,未完成のタブメニューを非表示に
2020/4/19,変更,タブメニューの仕様
2020/4/19,変更,テーブルのレイアウト
2020/4/19,追加,文字のコピーをペースト不可能に
2020/4/19,変更,タブ切り替えの仕様
2020/4/20,変更,フッターのレイアウト
2020/4/20,追加,タブ移動にアニメーション
2020/4/20,内部変更,FFFTPの使用を終了
2020/4/20,内部変更,SFTPの利用を開始(FTP)
2020/5/1,内部変更,テーブルタグをCSV読み込みに
2020/5/1,変更,テーブルタグの内容一部記述を変更
